municipio,cod_ibge,transicao,periodo,area_ha
Valença,3306107,Floresta_para_Pastagem,1985-2000,2817.681588196667
Valença,3306107,Pastagem_para_Floresta,1985-2000,633.7073509592344
Valença,3306107,Floresta_para_Agricultura,1985-2000,1.7402231395244598
Valença,3306107,Floresta_para_Urbano,1985-2000,0.994815431535244
Valença,3306107,Pastagem_para_Urbano,1985-2000,199.0330875664949
Valença,3306107,Agricultura_para_Urbano,1985-2000,149.3883733600378
Valença,3306107,VegNativa_para_Antropico,1985-2000,4727.715523658313
Valença,3306107,Antropico_para_VegNativa,1985-2000,3157.8050323470834
Valença,3306107,Pastagem_para_Agricultura,1985-2000,1.1598104536533356
Valença,3306107,Silvicultura_para_Floresta,1985-2000,17.63239191969236
Valença,3306107,Floresta_para_Silvicultura,1985-2000,0.7458105012774467
Pinheiral,3303955,Floresta_para_Pastagem,1985-2000,174.09385926965987
Pinheiral,3303955,Pastagem_para_Floresta,1985-2000,37.22344055958821
Pinheiral,3303955,Floresta_para_Agricultura,1985-2000,0.0
Pinheiral,3303955,Floresta_para_Urbano,1985-2000,0.0
Pinheiral,3303955,Pastagem_para_Urbano,1985-2000,128.72196408781934
Pinheiral,3303955,Agricultura_para_Urbano,1985-2000,36.91883596970754
Pinheiral,3303955,VegNativa_para_Antropico,1985-2000,257.05758666746755
Pinheiral,3303955,Antropico_para_VegNativa,1985-2000,195.67497865645333
Pinheiral,3303955,Pastagem_para_Agricultura,1985-2000,0.0
Pinheiral,3303955,Silvicultura_para_Floresta,1985-2000,0.0
Pinheiral,3303955,Floresta_para_Silvicultura,1985-2000,0.0
Rio Claro,3304409,Floresta_para_Pastagem,1985-2000,18.673090908690995
Rio Claro,3304409,Pastagem_para_Floresta,1985-2000,13.136479132900051
Rio Claro,3304409,Floresta_para_Agricultura,1985-2000,0.0
Rio Claro,3304409,Floresta_para_Urbano,1985-2000,0.0
Rio Claro,3304409,Pastagem_para_Urbano,1985-2000,2.7274475693702698
Rio Claro,3304409,Agricultura_para_Urbano,1985-2000,0.6256121832366083
Rio Claro,3304409,VegNativa_para_Antropico,1985-2000,89.836795796191
Rio Claro,3304409,Antropico_para_VegNativa,1985-2000,57.23193467227268
Rio Claro,3304409,Pastagem_para_Agricultura,1985-2000,0.0
Rio Claro,3304409,Silvicultura_para_Floresta,1985-2000,0.0
Rio Claro,3304409,Floresta_para_Silvicultura,1985-2000,0.0
Barra do Piraí,3300308,Floresta_para_Pastagem,1985-2000,2331.4596284920976
Barra do Piraí,3300308,Pastagem_para_Floresta,1985-2000,542.6573438611392
Barra do Piraí,3300308,Floresta_para_Agricultura,1985-2000,0.0
Barra do Piraí,3300308,Floresta_para_Urbano,1985-2000,6.870549112558365
Barra do Piraí,3300308,Pastagem_para_Urbano,1985-2000,163.04282286687226
Barra do Piraí,3300308,Agricultura_para_Urbano,1985-2000,161.1150856641578
Barra do Piraí,3300308,VegNativa_para_Antropico,1985-2000,3544.154347203673
Barra do Piraí,3300308,Antropico_para_VegNativa,1985-2000,1517.6194087572244
Barra do Piraí,3300308,Pastagem_para_Agricultura,1985-2000,1.5736423581838608
Barra do Piraí,3300308,Silvicultura_para_Floresta,1985-2000,57.99052569430833
Barra do Piraí,3300308,Floresta_para_Silvicultura,1985-2000,2.319336026906967
Vassouras,3306206,Floresta_para_Pastagem,1985-2000,403.8432349995656
Vassouras,3306206,Pastagem_para_Floresta,1985-2000,306.91034385547334
Vassouras,3306206,Floresta_para_Agricultura,1985-2000,14.162635438144209
Vassouras,3306206,Floresta_para_Urbano,1985-2000,1.1592231914401054
Vassouras,3306206,Pastagem_para_Urbano,1985-2000,76.94077180325985
Vassouras,3306206,Agricultura_para_Urbano,1985-2000,111.56481429189444
Vassouras,3306206,VegNativa_para_Antropico,1985-2000,879.242086134179
Vassouras,3306206,Antropico_para_VegNativa,1985-2000,1963.80374481082
Vassouras,3306206,Pastagem_para_Agricultura,1985-2000,10.102947548031809
Vassouras,3306206,Silvicultura_para_Floresta,1985-2000,0.0
Vassouras,3306206,Floresta_para_Silvicultura,1985-2000,0.0
Rio das Flores,3304508,Floresta_para_Pastagem,1985-2000,555.0281213057976
Rio das Flores,3304508,Pastagem_para_Floresta,1985-2000,127.45251299984317
Rio das Flores,3304508,Floresta_para_Agricultura,1985-2000,0.0
Rio das Flores,3304508,Floresta_para_Urbano,1985-2000,0.3317986130714416
Rio das Flores,3304508,Pastagem_para_Urbano,1985-2000,27.69955139607191
Rio das Flores,3304508,Agricultura_para_Urbano,1985-2000,30.60737008601427
Rio das Flores,3304508,VegNativa_para_Antropico,1985-2000,1020.8999523133624
Rio das Flores,3304508,Antropico_para_VegNativa,1985-2000,1775.565481243969
Rio das Flores,3304508,Pastagem_para_Agricultura,1985-2000,0.0
Rio das Flores,3304508,Silvicultura_para_Floresta,1985-2000,0.0
Rio das Flores,3304508,Floresta_para_Silvicultura,1985-2000,0.0
Porto Real,3304110,Floresta_para_Pastagem,1985-2000,15.234532542526722
Porto Real,3304110,Pastagem_para_Floresta,1985-2000,3.003191834834276
Porto Real,3304110,Floresta_para_Agricultura,1985-2000,0.0
Porto Real,3304110,Floresta_para_Urbano,1985-2000,1.2419370636343956
Porto Real,3304110,Pastagem_para_Urbano,1985-2000,497.42814548427566
Porto Real,3304110,Agricultura_para_Urbano,1985-2000,71.36991473322405
Porto Real,3304110,VegNativa_para_Antropico,1985-2000,48.35904384693679
Porto Real,3304110,Antropico_para_VegNativa,1985-2000,36.140291439142885
Porto Real,3304110,Pastagem_para_Agricultura,1985-2000,4.105034504626312
Porto Real,3304110,Silvicultura_para_Floresta,1985-2000,0.0
Porto Real,3304110,Floresta_para_Silvicultura,1985-2000,0.0
Quatis,3304128,Floresta_para_Pastagem,1985-2000,693.6473199038237
Quatis,3304128,Pastagem_para_Floresta,1985-2000,49.87601275742054
Quatis,3304128,Floresta_para_Agricultura,1985-2000,0.0
Quatis,3304128,Floresta_para_Urbano,1985-2000,0.0
Quatis,3304128,Pastagem_para_Urbano,1985-2000,77.17597202956676
Quatis,3304128,Agricultura_para_Urbano,1985-2000,22.27514112740755
Quatis,3304128,VegNativa_para_Antropico,1985-2000,2090.7176536120032
Quatis,3304128,Antropico_para_VegNativa,1985-2000,660.6360596335109
Quatis,3304128,Pastagem_para_Agricultura,1985-2000,0.0
Quatis,3304128,Silvicultura_para_Floresta,1985-2000,0.0
Quatis,3304128,Floresta_para_Silvicultura,1985-2000,0.0
Paraíba do Sul,3303708,Floresta_para_Pastagem,1985-2000,383.5772400054277
Paraíba do Sul,3303708,Pastagem_para_Floresta,1985-2000,134.6433404167493
Paraíba do Sul,3303708,Floresta_para_Agricultura,1985-2000,0.0
Paraíba do Sul,3303708,Floresta_para_Urbano,1985-2000,0.1658675223588943
Paraíba do Sul,3303708,Pastagem_para_Urbano,1985-2000,123.6663424372673
Paraíba do Sul,3303708,Agricultura_para_Urbano,1985-2000,134.11286417172823
Paraíba do Sul,3303708,VegNativa_para_Antropico,1985-2000,789.6711849902483
Paraíba do Sul,3303708,Antropico_para_VegNativa,1985-2000,2074.102736192649
Paraíba do Sul,3303708,Pastagem_para_Agricultura,1985-2000,0.0
Paraíba do Sul,3303708,Silvicultura_para_Floresta,1985-2000,0.0
Paraíba do Sul,3303708,Floresta_para_Silvicultura,1985-2000,0.0
Resende,3304201,Floresta_para_Pastagem,1985-2000,1675.3982044397032
Resende,3304201,Pastagem_para_Floresta,1985-2000,641.502682031019
Resende,3304201,Floresta_para_Agricultura,1985-2000,0.0
Resende,3304201,Floresta_para_Urbano,1985-2000,5.877192854881287
Resende,3304201,Pastagem_para_Urbano,1985-2000,721.9788967434681
Resende,3304201,Agricultura_para_Urbano,1985-2000,216.2478021916221
Resende,3304201,VegNativa_para_Antropico,1985-2000,4451.489575119609
Resende,3304201,Antropico_para_VegNativa,1985-2000,3681.503715563201
Resende,3304201,Pastagem_para_Agricultura,1985-2000,45.64880258426362
Resende,3304201,Silvicultura_para_Floresta,1985-2000,0.0
Resende,3304201,Floresta_para_Silvicultura,1985-2000,234.3509709941113
Comendador Levy Gasparian,3300951,Floresta_para_Pastagem,1985-2000,102.8396981050863
Comendador Levy Gasparian,3300951,Pastagem_para_Floresta,1985-2000,29.895257731863097
Comendador Levy Gasparian,3300951,Floresta_para_Agricultura,1985-2000,0.0
Comendador Levy Gasparian,3300951,Floresta_para_Urbano,1985-2000,0.664112314581871
Comendador Levy Gasparian,3300951,Pastagem_para_Urbano,1985-2000,28.64303245395422
Comendador Levy Gasparian,3300951,Agricultura_para_Urbano,1985-2000,55.52769572241049
Comendador Levy Gasparian,3300951,VegNativa_para_Antropico,1985-2000,244.7891163188745
Comendador Levy Gasparian,3300951,Antropico_para_VegNativa,1985-2000,526.9379271646341
Comendador Levy Gasparian,3300951,Pastagem_para_Agricultura,1985-2000,0.0
Comendador Levy Gasparian,3300951,Silvicultura_para_Floresta,1985-2000,0.0
Comendador Levy Gasparian,3300951,Floresta_para_Silvicultura,1985-2000,0.0
Três Rios,3306008,Floresta_para_Pastagem,1985-2000,23.0028362938002
